Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;MPN;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
6;1;Belkin Leather Folio for iPod nano - Black / Chocolate;Accessories;25;1;150;1;;;;;RP-demo_6;RF-demo_6;Nippon Electronic Import;Belkin;;;;0;0.6;0.2;0.4;0.038588;;;25;1;0;1;;20;;;<p>New design.</p>;<p>New design.</p>;Folio, leather;Meta title-BelkinLeatherFolio;Meta keywords-BelkinLeatherFolio;Meta description-BelkinLeatherFolio;Belkin-Leather-Folio-for-iPod-nano---Black-Chocolate;In Stock;Current supply. Ordering availlable;;;;1;http://localhost/prestashop/img/p/1/3/13.jpg;First alt text;0;;1;refurbished;0;0;0;0;0;;;;;0;0;0;0;
7;1;Shure SE210 Sound-Isolating Earphones for iPod and iPhone;Accessories;125;1;80;1;;;;;RP-demo_7;RF-demo_7;Shure Online Store;Shure;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;<p>New design.</p>;<p>New design.</p>;Headphones;Meta title-ShureEarphones;Meta keywords-ShureEarphones;Meta description-ShureEarphones;Shure-SE210-Sound-Isolating-Earphones-for-iPod-and-iPhone;In Stock;Current supply. Ordering availlable;;;;1;http://localhost/prestashop/img/p/1/4/14.jpg;First alt text;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
8;1;Смеситель для раковины Frap F1052-14;Для раковины;283371;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Смеситель для раковины Frap F1052-14;Смеситель для раковины Frap F1052-14;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-0a695ca1-9e1e-466e-a626-098e1e10dc3f.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
9;1;Порта-22 3D Grey Magic Fog;Порта-X (3D-Graf);900000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Порта-22 3D Grey Magic Fog; Порта-22 3D Grey Magic Fog;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-8e0ff64e-3a9e-4e65-ace6-afd43e196a1c.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
10;1;Порта-21 Cappuccino Veralinga;Порта-X;900000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Порта-21 Cappuccino Veralinga; Порта-21 Cappuccino Veralinga;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-fc181ccf-014b-4b2c-9f51-d7974f17bc9f.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
11;1;Порта-51 Cappuccino Crosscut White Pearl;Порта-Z;1363000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;; Порта-51 Cappuccino Crosscut White Pearl; Порта-51 Cappuccino Crosscut White Pearl;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-e150ac13-d7e0-471a-a7d2-50aebe0a9ed1.jpg;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
12;1;Потолочный гипсокартон Knauf 2500х1200х9.5 мм;Гипсокартон (ГКЛ);46000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Потолочный гипсокартон Knauf 2500х1200х9.5 мм;Потолочный гипсокартон Knauf 2500х1200х9.5 мм;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-a737e5c7-fee5-4451-85b2-82d4f12a05dc.png;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
13;1;Гипсокартон Кнауф 2500х1200х12.5 мм;Гипсокартон (ГКЛ);51500;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Гипсокартон Кнауф 2500х1200х12.5 мм;Гипсокартон Кнауф 2500х1200х12.5 мм;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-0fb24fc4-0772-407a-bdc8-69686f856454.png;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
14;1;Гипсокартон Кнауф 2500х1200х9.5 мм влагостойкий;Гипсокартон (ГКЛ);59500;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Гипсокартон Кнауф 2500х1200х9.5 мм влагостойкий;Гипсокартон Кнауф 2500х1200х9.5 мм влагостойкий;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-36ae6dd1-a608-47d1-b985-fbff72ae249f.png;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
15;1;Гипсокартон Кнауф 2500х1200х12.5 мм влагостойкий;Гипсокартон (ГКЛ);66000;1;;;;;;;;;;;;;;0;0.1;0.1;0.1;0.040793;;;1000;1;1;1;;;;;Гипсокартон Кнауф 2500х1200х12.5 мм влагостойкий;Гипсокартон Кнауф 2500х1200х12.5 мм влагостойкий;;;;;;;;;;;1;http://roagtpresta/uploads/750x750-eefb0769-d5c0-41ab-9370-0d7ad5c288b7.png;;0;;1;new;0;0;0;0;0;;;;;0;0;0;0;
